url,timestamp,status,accept_all_present,reject_all_present,settings_button_present,settings_button_text,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,vendor_count,legal_text_summary,error_log
https://www.aib.ie/,2025-06-16T18:37:32.947634,Success,TRUE,FALSE,TRUE,Adjust my preferences,TRUE,11,0,0,"[{""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",5,"We use cookies to personalise this website and our ads for you. We also use them to improve how the site functions and to share with our partners how the site is used. We only do this with your consent. You can choose to “Allow all” cookies or accept only some with “Adjust my preferences”. You can reject all non-essential cookies by choosing to “Accept only necessary” cookies. Disabling some cookies may change what you see on the site, how it works and the services we offer you. To find out more, see ourCookie Policy",[]
https://www.permanenttsb.ie/,2025-06-16T18:37:48.249512,Success,TRUE,TRUE,TRUE,Manage Preferences,TRUE,9,0,0,"[{""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0,"We use cookies to make our websites work, enhance your browsing experience and provide advertising we believe might be of interest to you. We categorise cookies as Necessary, Functional, Performance Analytics (used to analyse site performance) and Marketing (used to tailor advertising to your needs). You can select “Accept All” to agree to all of these cookies, or only opt in to what you are happy to accept using “Manage Preferences”. You can change your cookie settings at any time and learn more about how we use cookies in our Cookie Notice",[]
https://www.ulsterbank.ie/,2025-06-16T18:38:11.362736,Success,FALSE,FALSE,TRUE,Manage Preferences,TRUE,5,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Customer Experience"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0,"We use cookies to ensure our website works properly. To help us improve our service, we collect data to understand how people use our site. By allowing all cookies, we can enhance your experience even further. This means helping you find information more quickly and tailoring content or marketing to your needs. Select “Allow All Cookies” to agree or “Manage Preferences” to manage cookie settings. You can find out more by viewing our Cookie Policy.",[]
https://www.creditunion.ie/,2025-06-16T18:38:23.731197,Success,TRUE,TRUE,TRUE,Manage Settings,TRUE,9,0,0,"[{""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0,"We use cookies to ensure our website works correctly for you. They help us to understand when and how the website is used, as well as enabling us to work with our service providers to show advertising that we believe will be relevant to you. By clicking Accept all Cookies you agree to the use of all cookies. You can manage your cookie settings by clicking Manage Settings. To find out more about how we use cookies please read our Cookie Policy.",[]
https://www.dcu.ie/,2025-06-16T18:38:37.056921,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.tcd.ie/,2025-06-16T18:38:59.486023,Partial (Interaction Failed),TRUE,FALSE,FALSE,,FALSE,0,0,0,[],0,"Trinity College Dublin uses cookies to enable our website to operate, improve your browsing experience and provide personalised advertising which we believe may be of interest to you. By clicking “Accept All Cookies” you consent to the use of all cookies including social media and advertising cookies. You can choose to not accept certain cookies however this may impact on your browsing experience. Select “Cookies Settings” to find out more and customise your preferences. For further information please see our Cookie Policy",['No button with positive settings keywords found.']
https://www.ucc.ie/,2025-06-16T18:39:06.731161,Partial (Interaction Failed),TRUE,TRUE,FALSE,,FALSE,0,0,0,[],0,"We use necessary cookies to make our site work. We’d also like to set other cookies to help us improve the browsing experience and assist in our marketing efforts. These will be set only if you accept. You can control the categories of cookies enabled by selecting the options within this banner. You can also get more information, and modify your cookie preferences at any time by clicking on the cookie settings button, within our Cookie Policy",['No button with positive settings keywords found.']
https://www.nuigalway.ie/,2025-06-16T18:39:20.483882,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.ul.ie/,2025-06-16T18:39:38.488911,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.maynoothuniversity.ie/,2025-06-16T18:39:55.966424,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
