url,timestamp,status,cmp_vendor,initial_banner_found,accept_all_present,reject_all_present,settings_button_present,settings_button_text,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,legal_text_summary,error_log
https://www.aib.ie/,2025-06-16T03:30:18.760047,Success,Unknown,TRUE,TRUE,FALSE,TRUE,Adjust my preferences,TRUE,11,0,0,"[{""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",,[]
https://www.permanenttsb.ie/,2025-06-16T03:30:27.928204,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['Analysis failed: TimeoutException']
https://www.ulsterbank.ie/,2025-06-16T03:30:46.589221,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['Analysis failed: TimeoutException']
https://www.creditunion.ie/,2025-06-16T03:31:01.350153,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['Analysis failed: TimeoutException']
https://www.dcu.ie/,2025-06-16T03:31:17.033127,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.tcd.ie/,2025-06-16T03:31:24.501634,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['Analysis failed: TimeoutException']
https://www.ucc.ie/,2025-06-16T03:31:43.114050,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['Analysis failed: TimeoutException']
https://www.nuigalway.ie/,2025-06-16T03:31:58.289363,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],"Manage Cookies
Allow University of Galway to use Cookies for:
Functionality:    Your preferences:    Analytics:    Ads: 
ALLOW ALL ALLOW NONE ALLOW SELECTED
Some features need cookies to work properly. Cookies also let us (a) remember your preferences, (b) collect anonymous usage statistics, and (c) see how well our online ads are working.
No personal data is stored on these cookies but, under EU law, we still need to ask you this every 6 months. To learn more about our use of cookies, view our Privacy Policy. Some features need cookies to work properly. Cookies also let us (a) remember your preferences, (b) collect anonymous usage statistics, and (c) see how well our online ads are working. No personal data is stored on these cookies but, under EU law, we still need to ask you this every 6 months. To learn more about our use of cookies, view our Privacy Policy.",['No button with positive settings keywords found.']
https://www.ul.ie/,2025-06-16T03:32:03.984378,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.maynoothuniversity.ie/,2025-06-16T03:32:09.762238,Partial (Interaction Failed),Unknown,TRUE,FALSE,TRUE,FALSE,,FALSE,0,0,0,[],We use cookies on this website for various reasons to enhance the user expereience and analyse content and behaviour on our site. We use this data to help us get you to the information you want quickly improve our user journeys.,['No button with positive settings keywords found.']
