url,timestamp,status,cmp_vendor,initial_banner_found,accept_all_present,reject_all_present,settings_button_present,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,error_log
https://eu.puma.com/ie/en/home,2025-06-15T19:54:59.489779,Success,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,6,0,0,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Social Media Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Other analysis methods for marketing purposes (website tags)"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.adobe.com/ie/,2025-06-15T19:55:04.428342,Success,Unknown,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,1,"[{""title"": ""Operate the site and core services"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": true}, {""title"": ""Measure performance"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Extend functionality"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Personalize advertising"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www2.hm.com/en_ie/index.html,2025-06-15T19:55:14.654552,Partial,Unknown,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,[],"['Accessed preference center, but could not find purpose containers.']"
https://www.rte.ie/,2025-06-15T19:56:22.738057,Success,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,20,0,0,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies and Third-Party Embeds"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Store and/or access information on a device18 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Develop and improve services18 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Measure content performance7 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Understand audiences through statistics or combinations of data from different sources12 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use limited data to select advertising18 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Create profiles for personalised advertising15 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use profiles to select personalised advertising14 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Create profiles to personalise content4 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use profiles to select personalised content4 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Measure advertising performance21 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use precise geolocation data8 partners can use this special feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Ensure security, prevent and detect fraud, and fix errors17 partners can use this special purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Deliver and present advertising and content18 partners can use this special purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Match and combine data from other data sources13 partners can use this feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Link different devices14 partners can use this feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Identify devices based on information transmitted automatically17 partners can use this feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.did.ie/,2025-06-15T19:56:30.323240,Partial,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,[],"['Initial banner found, but no settings/manage button detected.']"
https://www.amazon.ie/,2025-06-15T19:56:52.345125,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],['No recognizable consent banner found.']
https://www.zalando.ie/,2025-06-15T19:58:16.335541,Partial,Unknown,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,[],"['Accessed preference center, but could not find purpose containers.']"
https://deliveroo.ie/,2025-06-15T19:59:06.871548,Success,Unknown,TRUE,TRUE,FALSE,TRUE,TRUE,4,0,0,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Advertising Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.irishtimes.com/,2025-06-15T19:59:17.413155,Success,Unknown,TRUE,TRUE,FALSE,TRUE,TRUE,11,0,0,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Social Media Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""IAB Features"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""IAB Special Purposes"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Personalised advertising and content, advertising and content measurement, audience research and services development79 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Store and/or access information on a device70 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use precise geolocation data30 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Actively scan device characteristics for identification11 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.independent.ie/,2025-06-15T19:59:25.555680,Partial,Unknown,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,[],"['Accessed preference center, but could not find purpose containers.']"
